RegionOne | m1.tiny  | hour       | 0.048
RegionOne | m1.small  | hour       | 0.096
RegionOne | m1.medium  | hour       | 0.191
RegionOne | c1.small  | hour       | 0.191
RegionOne | m1.large  | hour       | 0.382
RegionOne | m1.xlarge  | hour       | 0.76
RegionOne | c1.large  | hour       | 0.347
RegionOne | c1.xlarge  | hour       | 0.594
RegionOne | c1.xxlarge  | hour       | 1.040
RegionOne | m1.2xlarge  | hour       | 1.040
RegionOne | c1.c1r1  | hour       | 0.048
RegionOne | c1.c1r2  | hour       | 0.087
RegionOne | c1.c1r4  | hour       | 0.134
RegionOne | c1.c2r4  | hour       | 0.173
RegionOne | c1.c2r8  | hour       | 0.227
RegionOne | c1.c4r8  | hour       | 0.347
RegionOne | c1.c4r4  | hour       | 0.2184
RegionOne | c1.c8r4  | hour       | 0.494
RegionOne | c1.c4r16  | hour       | 0.594
RegionOne | c1.c8r16  | hour       | 0.693
RegionOne | c1.c8r30  | hour       | 1.040
RegionOne | ip.floating  | hour       | 0.006
RegionOne | volume.size  | gigabyte       | 0.0005
RegionOne | storage.objects.size  | gigabyte       | 0.0005
RegionOne | image.size  | gigabyte       | 0.0005
RegionOne | instance.root.disk | gigabyte | 0.0005
RegionOne | network | hour | 1.4
